TimeSeries ID,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:artifactregistry.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:cloudbuild.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:cloudfunctions.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:compute.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:eventarc.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:logging.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:privilegedaccessmanager.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:pubsub.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:run.googleapis.com,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:sourcerepo.googleapis.com
service,artifactregistry.googleapis.com,cloudbuild.googleapis.com,cloudfunctions.googleapis.com,compute.googleapis.com,eventarc.googleapis.com,logging.googleapis.com,privilegedaccessmanager.googleapis.com,pubsub.googleapis.com,run.googleapis.com,sourcerepo.googleapis.com
project_id,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan
Wed May 22 2024 21:34:00 GMT+0530 (India Standard Time),0.032768,undefined,0.065536,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:35:00 GMT+0530 (India Standard Time),0.029257142857142857,0.098304,0.393216,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:36:00 GMT+0530 (India Standard Time),0.032768,0.065536,0.294912,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:37:00 GMT+0530 (India Standard Time),undefined,undefined,0.196608,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:51:00 GMT+0530 (India Standard Time),undefined,0.049152,0.065536,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:52:00 GMT+0530 (India Standard Time),0.065536,0.098304,0.393216,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:57:00 GMT+0530 (India Standard Time),undefined,undefined,0.32767999999999997,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:58:00 GMT+0530 (India Standard Time),undefined,0.049152,0.524288,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:13:00 GMT+0530 (India Standard Time),undefined,undefined,0.32767999999999997,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:14:00 GMT+0530 (India Standard Time),undefined,0.049152,0.524288,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:17:00 GMT+0530 (India Standard Time),undefined,0.032768,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:24:00 GMT+0530 (India Standard Time),undefined,0.049152,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:25:00 GMT+0530 (India Standard Time),undefined,0.049152,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:33:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0.32101532203389826,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:34:00 GMT+0530 (India Standard Time),undefined,0.049152,undefined,0.3463127843137255,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:35:00 GMT+0530 (India Standard Time),undefined,0.049152,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:36:00 GMT+0530 (India Standard Time),undefined,0.049152,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:43:00 GMT+0530 (India Standard Time),undefined,0.049152,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:08:00 GMT+0530 (India Standard Time),undefined,undefined,0.393216,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 23:09:00 GMT+0530 (India Standard Time),undefined,undefined,0.393216,0.393216,undefined,undefined,undefined,undefined,undefined,undefined
