TimeSeries ID,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:artifactregistry.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:cloudbuild.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:cloudfunctions.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:compute.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:eventarc.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:logging.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:privilegedaccessmanager.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:pubsub.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:run.googleapis.com,api/request_count.consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="cloud-rishuvan" AND NOT resource.labels.service=one_of("bigquery-json.googleapis.com" "mapsbilling-pa.googleapis.com").project_id:cloud-rishuvan.service:sourcerepo.googleapis.com
project_id,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan,cloud-rishuvan
service,artifactregistry.googleapis.com,cloudbuild.googleapis.com,cloudfunctions.googleapis.com,compute.googleapis.com,eventarc.googleapis.com,logging.googleapis.com,privilegedaccessmanager.googleapis.com,pubsub.googleapis.com,run.googleapis.com,sourcerepo.googleapis.com
Wed May 22 2024 21:34:00 GMT+0530 (India Standard Time),0.014441629582715268,0.003888675922376484,0.011944087957021506,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:35:00 GMT+0530 (India Standard Time),0.19222487041450692,0.016666666666666666,0.1413865231087185,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:36:00 GMT+0530 (India Standard Time),0.03555559259320989,0.02222231481635805,0.19444712967438346,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:37:00 GMT+0530 (India Standard Time),0.007777907409567937,0.007222342594598798,0.002222259259876554,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:51:00 GMT+0530 (India Standard Time),0.011666583331944421,0.013332999994444351,0.0780540786790891,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:52:00 GMT+0530 (India Standard Time),0.018888925926543218,0.02000033333888898,0.10416812502430595,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:53:00 GMT+0530 (India Standard Time),0.0027778240748456916,undefined,0.001111129629938277,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:57:00 GMT+0530 (India Standard Time),undefined,undefined,0.029999388878703535,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:58:00 GMT+0530 (India Standard Time),undefined,0.009444324072067868,0.05222281482469152,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 21:59:00 GMT+0530 (India Standard Time),undefined,0.007222342594598798,0.001111129629938277,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:12:00 GMT+0530 (India Standard Time),undefined,undefined,undefined,0.007499847219675883,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:13:00 GMT+0530 (India Standard Time),undefined,undefined,0.04555492591543192,0.009166819446990783,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:14:00 GMT+0530 (India Standard Time),undefined,0.009444324072067868,0.03777840741790141,0.01722195369922832,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:15:00 GMT+0530 (India Standard Time),undefined,0.007222342594598798,undefined,0.016111379634105014,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:16:00 GMT+0530 (India Standard Time),undefined,0.009444324072067868,undefined,0.01722195369922832,undefined,undefined,undefined,undefined,undefined,undefined
Wed May 22 2024 22:17:00 GMT+0530 (India Standard Time),undefined,0.016666666666666666,undefined,0.03333333333333333,undefined,undefined,undefined,undefined,undefined,undefined
